selling_price,year,km_driven,fuel_petrol,fuel_diesel,fuel_cng,fuel_lpg,seller_type_indiv,seller_type_dealer,transmission
60000,2007,70000,1,0,0,0,1,0,0
135000,2007,50000,1,0,0,0,1,0,0
600000,2012,100000,0,1,0,0,1,0,0
250000,2017,46000,1,0,0,0,1,0,0
450000,2014,141000,0,1,0,0,1,0,0
140000,2007,125000,1,0,0,0,1,0,0
550000,2016,25000,1,0,0,0,1,0,0
240000,2014,60000,1,0,0,0,1,0,0
850000,2015,25000,1,0,0,0,1,0,0
365000,2017,78000,0,0,1,0,1,0,0
260000,2015,35000,1,0,0,0,1,0,0
250000,2014,100000,1,0,0,0,1,0,0
1650000,2018,25000,1,0,0,0,0,1,1
60000,2007,70000,1,0,0,0,1,0,0
135000,2007,50000,1,0,0,0,1,0,0
600000,2012,100000,0,1,0,0,1,0,0
250000,2017,46000,1,0,0,0,1,0,0
450000,2014,141000,0,1,0,0,1,0,0
140000,2007,125000,1,0,0,0,1,0,0
550000,2016,25000,1,0,0,0,1,0,0
240000,2014,60000,1,0,0,0,1,0,0
850000,2015,25000,1,0,0,0,1,0,0
365000,2017,78000,0,0,1,0,1,0,0
260000,2015,35000,1,0,0,0,1,0,0
250000,2014,100000,1,0,0,0,1,0,0
1650000,2018,25000,1,0,0,0,0,1,1
585000,2015,24000,1,0,0,0,0,1,0
1195000,2019,5000,0,1,0,0,0,1,0
390000,2013,33000,0,1,0,0,1,0,0
1964999,2014,28000,0,1,0,0,0,1,1
1425000,2013,59000,0,1,0,0,0,1,1
975000,2018,4500,0,1,0,0,0,1,1
1190000,2011,175900,0,1,0,0,0,1,1
930000,2018,14500,1,0,0,0,0,1,0
525000,2018,15000,1,0,0,0,1,0,0
1735000,2013,50000,0,1,0,0,0,1,1
1375000,2012,33800,0,1,0,0,0,1,1
450000,2011,130400,0,1,0,0,0,1,1
900000,2016,50000,1,0,0,0,1,0,1
1300000,2015,80000,0,1,0,0,1,0,0
1400000,2019,10000,1,0,0,0,1,0,0
850000,2010,119000,1,0,0,0,0,1,1
229999,2014,60000,1,0,0,0,1,0,0
1550000,2013,75800,0,1,0,0,0,1,1
1250000,2009,78000,0,1,0,0,0,1,1
625000,2012,40000,0,1,0,0,1,0,0
1050000,2014,50000,0,1,0,0,1,0,0
560000,2014,74000,0,1,0,0,1,0,0
290000,2014,64000,1,0,0,0,1,0,0
275000,2012,60000,1,0,0,0,1,0,0
411000,2009,120000,0,1,0,0,1,0,0
150000,2009,79000,1,0,0,0,1,0,0
500000,2019,15000,1,0,0,0,1,0,0
100000,2006,80000,1,0,0,0,1,0,0
725000,2017,18500,0,1,0,0,0,1,0
401000,2018,10200,1,0,0,0,0,1,0
750000,2018,29000,0,1,0,0,0,1,0
310000,2018,28000,1,0,0,0,0,1,0
665000,2016,46000,0,1,0,0,0,1,0
465000,2014,70000,0,1,0,0,0,1,0
160000,2012,60000,1,0,0,0,1,0,0
250000,1996,35000,0,1,0,0,1,0,0
675000,2014,90000,0,1,0,0,0,1,0
300000,2013,80000,1,0,0,0,0,1,0
70000,2005,80000,0,1,0,0,1,0,0
240000,2014,73300,1,0,0,0,0,1,0
525000,2014,92000,0,1,0,0,0,1,0
